#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
120597	7186	7189	113038	113041	-	-	TRAF2	TRAF6	MGC:45012|TRAP|TRAP3	MGC:3310|RNF85	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120605	7186	11074	113038	116257	-	DAAP-112O13.2	TRAF2	TRIM31	MGC:45012|TRAP|TRAP3	C6orf13|HCG1|HCGI|RNF	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120689	7186	26150	113038	117581	-	-	TRAF2	RIBC2	MGC:45012|TRAP|TRAP3	C22orf11|TRIB	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120791	7186	9787	113038	115131	-	-	TRAF2	DLGAP5	MGC:45012|TRAP|TRAP3	DLG7|HURP	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120847	7186	25978	113038	117462	-	CGI-84	TRAF2	CHMP2B	MGC:45012|TRAP|TRAP3	ALS17|CHMP2.5|DMT1|VPS2-2|VPS2B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120880	7186	54469	113038	119975	-	HT032	TRAF2	ZFAND6	MGC:45012|TRAP|TRAP3	AWP1|ZA20D3|ZFAND5B	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120903	7186	51194	113038	119368	-	-	TRAF2	IPO11	MGC:45012|TRAP|TRAP3	RanBP11	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120906	7186	284058	113038	129744	-	-	TRAF2	KANSL1	MGC:45012|TRAP|TRAP3	CENP-36|KDVS|KIAA1267|MSL1v1|NSL1|hMSL1v1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120977	7186	25988	113038	117469	-	-	TRAF2	HINFP	MGC:45012|TRAP|TRAP3	HiNF-P|MIZF|ZNF743	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120989	7186	9099	113038	114553	-	-	TRAF2	USP2	MGC:45012|TRAP|TRAP3	UBP41|USP9	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121055	7186	55209	113038	120505	-	-	TRAF2	SETD5	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121058	7186	89885	113038	124636	-	-	TRAF2	FATE1	MGC:45012|TRAP|TRAP3	CT43|FATE	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121060	7186	116349	113038	125499	-	-	TRAF2	EXOC3-AS1	MGC:45012|TRAP|TRAP3	C5orf55	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121063	7186	22893	113038	116558	-	-	TRAF2	BAHD1	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121313	1856	7186	108189	113038	-	-	DVL2	TRAF2	-	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121325	7186	84445	113038	124083	-	RP11-108L7.8	TRAF2	LZTS2	MGC:45012|TRAP|TRAP3	LAPSER1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121477	7186	10636	113038	115880	-	-	TRAF2	RGS14	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121482	1407	7186	107797	113038	-	-	CRY1	TRAF2	PHLL1	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121488	7186	84832	113038	124286	-	RP4-747L4.3	TRAF2	ANKRD36BP1	MGC:45012|TRAP|TRAP3	ANKRD26L1|ANKRD36BL1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121493	7186	10241	113038	115535	-	-	TRAF2	CALCOCO2	MGC:45012|TRAP|TRAP3	NDP52	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121518	329	7186	106826	113038	-	-	BIRC2	TRAF2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121619	7186	8204	113038	113843	-	-	TRAF2	NRIP1	MGC:45012|TRAP|TRAP3	RIP140	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121628	1027	7186	107461	113038	-	-	CDKN1B	TRAF2	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121645	3705	7186	109910	113038	-	-	ITPK1	TRAF2	ITRPK1	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121726	7186	7755	113038	113539	-	-	TRAF2	ZNF205	MGC:45012|TRAP|TRAP3	RhitH|ZNF210|Zfp13	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121733	7186	81576	113038	123536	-	SB115	TRAF2	CCDC130	MGC:45012|TRAP|TRAP3	-	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121753	3662	7186	109870	113038	-	-	IRF4	TRAF2	LSIRF|MUM1|NF-EM5|SHEP8	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121769	7186	11170	113038	116341	-	-	TRAF2	FAM107A	MGC:45012|TRAP|TRAP3	DRR1|TU3A	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121828	7186	85302	113038	124465	-	-	TRAF2	FBF1	MGC:45012|TRAP|TRAP3	Alb|FBF-1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121841	6919	7186	112781	113038	RP11-299N6.2	-	TCEA2	TRAF2	TFIIS	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121899	7186	79873	113038	122961	-	-	TRAF2	NUDT18	MGC:45012|TRAP|TRAP3	MTH3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121937	5886	7186	111823	113038	-	-	RAD23A	TRAF2	HHR23A|HR23A	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122086	7186	92610	113038	124962	-	-	TRAF2	TIFA	MGC:45012|TRAP|TRAP3	T2BP|T6BP|TIFAA	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
122139	7186	7186	113038	113038	-	-	TRAF2	TRAF2	MGC:45012|TRAP|TRAP3	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250883	7185	7186	113037	113038	-	-	TRAF1	TRAF2	EBI6|MGC:10353	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	14743216	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250884	8717	7186	114257	113038	-	-	TRADD	TRAF2	Hs.89862	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	14743216	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250885	7133	7186	112987	113038	-	-	TNFRSF1B	TRAF2	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	14743216	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250886	29110	7186	118878	113038	-	-	TBK1	TRAF2	NAK|T2K	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	14743216	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250887	10454	7186	115717	113038	RP3-407F17.2	-	TAB1	TRAF2	3-Tab1|MAP3K7IP1	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	14743216	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250897	10010	7186	115328	113038	-	-	TANK	TRAF2	I-TRAF|ITRAF|TRAF2	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Bouwmeester T (2004)	14743216	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
250987	23139	7186	116756	113038	RP4-533D7.1	-	MAST2	TRAF2	MAST205|MTSSK	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Xiong H (2004)	15308666	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252945	7186	6885	113038	112748	-	RP1-154G14.1	TRAF2	MAP3K7	MGC:45012|TRAP|TRAP3	MEKK7|TAK1|TGF1a	Affinity Capture-Western	physical	Ishitani T (2003)	14633987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
252946	257397	7186	129216	113038	-	-	TAB3	TRAF2	MAP3K7IP3|NAP1	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Ishitani T (2003)	14633987	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
253305	26133	7186	117569	113038	-	-	TRPC4AP	TRAF2	C20orf188|PPP1R158|TRRP4AP|TRUSS	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Soond SM (2003)	14585990	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255893	7124	7186	112979	113038	DADB-70P7.1	-	TNF	TRAF2	DIF|TNF-alpha|TNFA|TNFSF2	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Micheau O (2003)	12887920	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
255903	841	7186	107291	113038	-	-	CASP8	TRAF2	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Micheau O (2003)	12887920	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
256291	7186	2081	113038	108391	-	-	TRAF2	ERN1	MGC:45012|TRAP|TRAP3	IRE1|IRE1P|IRE1a|hIRE1p	Affinity Capture-Western	physical	Kaneko M (2003)	12843613	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275118	7133	7186	112987	113038	-	-	TNFRSF1B	TRAF2	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	MGC:45012|TRAP|TRAP3	Two-hybrid	physical	Song HY (1995)	7639698	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275120	7133	7186	112987	113038	-	-	TNFRSF1B	TRAF2	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	MGC:45012|TRAP|TRAP3	Reconstituted Complex	physical	Song HY (1995)	7639698	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
275609	1147	7186	107569	113038	-	-	CHUK	TRAF2	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Regnier CH (1997)	9244310	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276182	23043	7186	116682	113038	-	-	TNIK	TRAF2	-	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Fu CA (1999)	10521462	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276362	7186	6478	113038	112373	-	-	TRAF2	SIAH2	MGC:45012|TRAP|TRAP3	hSiah2	Reconstituted Complex	physical	Habelhah H (2002)	12411493	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276668	7186	8837	113038	114364	-	-	TRAF2	CFLAR	MGC:45012|TRAP|TRAP3	CASH|CASP8AP1|CLARP|Casper|FLAME|FLAME-1|FLAME1|FLIP|I-FLICE|MRIT|c-FLIP|c-FLIPL|c-FLIPR|c-FLIPS	Affinity Capture-Western	physical	Shu HB (1997)	9208847	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276854	7186	4217	113038	110381	-	RP3-325F22.4	TRAF2	MAP3K5	MGC:45012|TRAP|TRAP3	ASK1|MAPKKK5|MEKK5	Affinity Capture-Western	physical	Nishitoh H (1998)	9774977	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276977	7186	8717	113038	114257	-	-	TRAF2	TRADD	MGC:45012|TRAP|TRAP3	Hs.89862	Affinity Capture-Western	physical	Takeuchi M (1996)	8702708	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276978	7186	8737	113038	114274	-	-	TRAF2	RIPK1	MGC:45012|TRAP|TRAP3	RIP|RIP1	Affinity Capture-Western	physical	Takeuchi M (1996)	8702708	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276979	7186	7185	113038	113037	-	-	TRAF2	TRAF1	MGC:45012|TRAP|TRAP3	EBI6|MGC:10353	Affinity Capture-Western	physical	Takeuchi M (1996)	8702708	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276980	7186	7133	113038	112987	-	-	TRAF2	TNFRSF1B	MGC:45012|TRAP|TRAP3	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	Affinity Capture-Western	physical	Takeuchi M (1996)	8702708	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276981	7186	7186	113038	113038	-	-	TRAF2	TRAF2	MGC:45012|TRAP|TRAP3	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Takeuchi M (1996)	8702708	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277047	51330	7186	119478	113038	-	-	TNFRSF12A	TRAF2	CD266|FN14|TWEAKR	MGC:45012|TRAP|TRAP3	Reconstituted Complex	physical	Wiley SR (2001)	11728344	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277170	7186	7186	113038	113038	-	-	TRAF2	TRAF2	MGC:45012|TRAP|TRAP3	MGC:45012|TRAP|TRAP3	Co-crystal Structure	physical	McWhirter SM (1999)	10411888	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277171	7186	958	113038	107396	-	-	TRAF2	CD40	MGC:45012|TRAP|TRAP3	Bp50|CDW40|TNFRSF5|p50	Co-crystal Structure	physical	McWhirter SM (1999)	10411888	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277217	958	7186	107396	113038	-	-	CD40	TRAF2	Bp50|CDW40|TNFRSF5|p50	MGC:45012|TRAP|TRAP3	Reconstituted Complex	physical	Tsukamoto N (1999)	9990007	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277436	7186	857	113038	107305	-	-	TRAF2	CAV1	MGC:45012|TRAP|TRAP3	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	Affinity Capture-Western	physical	Feng X (2001)	11112773	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277733	7133	7186	112987	113038	-	-	TNFRSF1B	TRAF2	CD120b|TBPII|TNF-R-II|TNF-R75|TNFBR|TNFR1B|TNFR2|TNFR80|p75|p75TNFR	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Hostager BS (2002)	11907088	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277967	7186	8877	113038	114396	-	-	TRAF2	SPHK1	MGC:45012|TRAP|TRAP3	SPHK	Affinity Capture-Western	physical	Xia P (2002)	11777919	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
277968	8877	7186	114396	113038	-	-	SPHK1	TRAF2	SPHK	MGC:45012|TRAP|TRAP3	Reconstituted Complex	physical	Xia P (2002)	11777919	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278755	8740	7186	114277	113038	UNQ391/PRO726	-	TNFSF14	TRAF2	CD258|HVEML|LIGHT|LTg|TR2	MGC:45012|TRAP|TRAP3	Affinity Capture-MS	physical	Kuai J (2003)	12571250	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278758	8740	7186	114277	113038	UNQ391/PRO726	-	TNFSF14	TRAF2	CD258|HVEML|LIGHT|LTg|TR2	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Kuai J (2003)	12571250	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279728	8767	7186	114300	113038	WUGSC:H_RG437L15.1	-	RIPK2	TRAF2	CARD3|CARDIAK|CCK|GIG30|RICK|RIP2	MGC:45012|TRAP|TRAP3	Affinity Capture-Western	physical	Thome M (1998)	9705938	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
280327	5871	7186	111809	113038	-	-	MAP4K2	TRAF2	BL44|GCK|RAB8IP	MGC:45012|TRAP|TRAP3	Reconstituted Complex	physical	Yuasa T (1998)	9712898	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
